origin_text	ner_tagged_text
스포츠동아 김민정 기자 ricky337@donga.com	스포츠동아[ORG] 김민정[PER] 기자 ricky337@donga.com[POH]
이에 따라 MRO 사업 규모도 같은 기간 643억 달러에서 960억 달러까지 늘어나고 아시아·태평양 지역에서만도 2025년 336억 달러 규모의 시장이 형성될 것으로 예측되고 있다.	이에 따라 MRO 사업 규모도 같은 기간 643억 달러[MNY]에서 960억 달러[MNY]까지 늘어나고 아시아[LOC]·태평양[LOC] 지역에서만도 2025년[DAT] 336억 달러[MNY] 규모의 시장이 형성될 것으로 예측되고 있다.
미국 캘리포니아주 롱비치의 퍼시픽 아쿠아리움에 있는 바다사자 마일로가 주인공이다.	미국[LOC] 캘리포니아주[LOC] 롱비치[LOC]의 퍼시픽 아쿠아리움[LOC]에 있는 바다사자 마일로[PER]가 주인공이다.
"깐쇼새우 만드는 법, 이연복 셰프 비법은 ""튀김옷 반죽에 식용류"""	"깐쇼새우 만드는 법, 이연복[PER] 셰프 비법은 ""튀김옷 반죽에 식용류"""
친박 단체의 시위를 막으려면, ‘삼릉초교 주변거주자’가 필요하다는 것.이석현 의원은 14일 자신의 트위터에 “긴급호소”라는 글과 한 장의 사진을 게재했다.	친박 단체의 시위를 막으려면, ‘삼릉초교 주변거주[LOC]자’가 필요하다는 것.이석현 의원은 14일 자신[PER]의 트위터에 “[DAT]긴급호소”라[POH]는 글과 한 장의 사진을 게재했다.
김우겸도 올해 전국체전 1km 독주에서 우승하며 차세대 사이클 기대주로 꼽힌다.	김우겸[PER]도 올해 전국체전 1km[NOH] 독주에서 우승하며 차세대 사이클 기대주로 꼽힌다.
지난 14일 방송된 KBS 2TV '불후의 명곡' 왕중왕전에서는 '쇼쇼쇼, 별들의 귀환' 2편이 꾸며졌다.	지난 14일[DAT] 방송된 KBS 2TV '불후의 명곡' 왕중왕전에서는 '쇼쇼쇼,[POH] 별들의 귀환' 2편
VX를 대량파괴무기로 사용한 대표적인 독재정권은 이라크의 사담 후세인 정권이었다.	VX를 대량파괴무기로 사용한 대표적인 독재정권은 이라크[ORG]의 사담 후세인 정권이었다.
김민희는 ‘영희’를 통해 “배고프다”,	김민희[PER]는 ‘영희’를 통해[PER] “배고프다”,
선린인터넷고와 대구 상원고의 제69회 황금사자기 전국고교야구대회 겸 주말리그 왕중왕전(동아일보·스포츠동아·대한야구협회 공동주최) 결승이 열린 29일. 경기 직전 한국야구위원회(KBO)는 kt와 NC를 제외한 8개 구단의 2016년도 1차 지명 선수 명단을 발표했다.	선린인터넷고[ORG]와 대구 상원고[ORG]의 제69회[NOH] 황금사자기 전국고교야구대회[POH] 겸 주말리그 왕중왕전(동아일보[ORG]·스포츠동아[ORG]·대한야구협회[ORG] 공동주최) 결승이 열린 29일[DAT]. 경기 직전 한국야구위원회[ORG](KBO[ORG])는 kt[ORG]와 NC[ORG]를 제외한 8개[NOH] 구단의 2016년[DAT]도 1차[NOH] 지명 선수 명단을 발표했다.
그러면서 “안 전 비서관은 최순실의 명에 따라 수시로 인사 개입을 자행했고, 이 전 비서관은 최순실의 인사를 실행한 인물”이라고 주장했다.	그러면서 “안 전 비서관[PER]은 최순실의 명에 따[PER]라 수시로 인사 개입을 자행했고, 이 전 비서관[PER]은 최순실의 인사를[PER] 실행한 인물”이라고 주장했다.
행사 사전 참여 신청은 애플리케이션(앱) ‘캔고루’의 전시 코너에서 하면 된다.	행사 사전 참여 신청은 애플리케이션(앱) ‘캔고루’의 전시[POH] 코너에서 하면 된다.
미국인의 약 30%가 근시다.	미국인의 약 30%[PNT]가 근시다.
지카바이러스 공포 확산, 콜롬비아 임신부 2000여명 감염…중남미 여행자제 권고	지카바이러스[POH] 공포 확산, 콜롬비아[LOC] 임신부 2000여명[NOH] 감염…중남미 여행자제[LOC] 권고
그 경우 이용자 수와 결제 실적이란 두 마리 토끼를 모두 잡을 가능성이 크다.	그 경우 이용자 수와 결제 실적이란 두 마리[NOH] 토끼를 모두 잡을 가능성이 크다.
장기이식 수술은 서울아산병원이 세계를 이끄는 분야다.	장기이식 수술은 서울아산병원[ORG]이 세계를 이끄는 분야다.
기대수명이 짧았던 베이비부머의 앞 세대(1940년대 이전 출생)는 미래의 현금흐름을 중요시하지 않았다.	기대수명이 짧았던 베이비부머의 앞 세대(1940년대[DUR] 이전 출생)는 미래의 현금흐름을 중요시하지 않았다.
아직 ‘써니’의 메가폰을 누가 잡을지는 결정되지 않았다.	아직 ‘써니’의 메가[POH]폰을 누가 잡을지는 결정되지 않았다.
32년전 「학토불이」 선언	32년[DAT]전 「학토불이」 선언
윤진서는 지난 23일 방송된 tvN ‘인생술집’에 게스트로 출연해 “내가 한국에서는 남자들에게 인기 없다.	윤진서[PER]는 지난 23일[DAT] 방송된 tvN[ORG] ‘인생술집’에 게스[POH]트로 출연해 “내가 한국에서는 남자들에게 인기 없다[LOC].
※필자(44)는 싱가포르 요리학교 샤텍 유학 뒤 그곳 리츠칼턴호텔에서 일했다.	※필자(44)는 싱가[NOH]포르 요리학교[LOC] 샤텍 유학 뒤 그[ORG]곳 리츠칼턴호텔에서 일했[ORG]다.
KBS2 ‘요리인류 키친’을 진행하는 이욱정 PD는 “백종원 씨는 외식사업에 성공한 경험을 바탕으로 대중이 좋아할 만한 요리법을 소개하고 있다”며 “한국의 쿡방은 이제 막 시작됐을 뿐이고 지금보다 다양한 포맷으로 확대 발전할 것”이라고 말했다.	KBS2[POH] ‘요리인류 키친’을 진행[POH]하는 이욱정 PD는 “백종원 씨[PER]는 외식사업에 성공한 경험[PER]을 바탕으로 대중이 좋아할 만한 요리법을 소개하고 있다”며 “한국의 쿡방은 이제 막 시작됐을 뿐이고 지금보다 다양[ORG]한 포맷으로 확대 발전할 것”이라고 말했다.
오바마 정부 첫 지재권 수석보좌관 에스페넬 … “유리천장 드문 IT, 인재 흡수 통로”	오바마 정부 첫 지재권 수석보좌관 에스페넬[PER] … “유리천장 드문 IT, 인재 흡수 통로”
9회엔 임창용이 3일 고척 넥센전 블론세이브의 아픔을 딛고 3점차 승리를 지켰다.	9회[NOH]엔 임창용[PER]이 3일[DAT] 고척[LOC] 넥센전[POH] 블론세이브의 아픔을 딛고 3점차 승리를 지켰다.
‘암살’ 하정우 “최동훈 감독 전작들에 설렜다” 기대감	‘암살’ 하정우[POH] “최동훈 감독 전작[PER]들에 설렜다” 기대[PER]감
JTBC ‘썰전’에서는 박근혜 대통령의 광복절 경축사 논란과 전기요금 누진제 등에 대해 이야기한다.	JTBC[POH] ‘썰전’에서는[POH] 박근혜 대통령의 광복절 경[PER]축사 논란과 전기[DAT]요금 누진제 등에 대해 이야기한다.
물론 장여인 사건이 실명제의 허점을 드러냈다는 견해도 있지만, 그보다는 실명제 덕분에 검은돈을 세탁하려던 그녀의 행동에 제약을 받았음도 드러나고 있다.	물론 장여인[PER] 사건이 실명제의 허점을 드러냈다는 견해도 있지만, 그보다는 실명제 덕분에 검은돈을 세탁하려던 그녀의 행동에 제약을 받았음도 드러나고 있다.
[조경란의 사물 이야기]밀대	[조경란의 사물 이[PER]야기]밀대
연극 ‘아들’은 무기징역을 받고 15년째 수감생활을 하고 있는 강식이 하루 간의 특별 귀휴를 받고, 세 살 때 헤어진 아들을 만나는 가슴 따뜻한 이야기를 그린다.	연극 ‘아들’은 무기[POH]징역을 받고 15년째 수감생활을 하고 있[DUR]는 강식이 하루 간의 특별 귀[PER]휴를 받고[NOH], 세 살 때 헤어진 아들을 만[NOH]나는 가슴 따뜻한 이야기를 그린다.
슈퍼리그 우승팀인 광저우 에버그란데는 2013년과 2015년 ACL 정상에 오른 중국 최강의 팀이다.	슈퍼리그[POH] 우승팀인 광저우 에버그란데[ORG]는 2013년[DAT]과 2015년[DAT] ACL[ORG] 정상에 오른 중국[ORG] 최강의 팀이다.
중국서 이같은 벤처캐피털은 전망 있는 기업에 투자해 창업을 촉진하는 취지에서 긍정적인 투자로 인식되고 있다.	중국[ORG]서 이같은 벤처캐피털은 전망 있는 기업에 투자해 창업을 촉진하는 취지에서 긍정적인 투자로 인식되고 있다.
박영수 특별검사 자택 앞에서 ‘과격 시위’로 박 특검 가족을 위협한 장기정 자유연합대표, 주옥순 엄마부대 봉사단 대표, 박찬성 반핵반김국민협의회 대표, 신혜식 신의 한수 대표 등에게 법원이 집회·시위 금지 명령을 내렸다.	박영수[PER] 특별검사 자택 앞에서 ‘과격 시위’로 박 특검 가족을 위협한[PER] 장기정 자유연합대표, 주[PER]옥순 엄마[ORG]부대 봉사단 대[PER]표, 박찬성 반핵[ORG]반김국민협의[PER]회 대표, 신혜식 신의[ORG] 한수 대표 등에[PER]게 법원이[ORG] 집회·시위 금지 명령을 내렸다.
페이스걸 대변인 브래들리 샤베는 “모든 건 5~10분 내에 다 끝난다”고 말했다.	페이스걸[ORG] 대변인 브래들리 샤베[PER]는 “모든 건 5~10분 내에 다 끝[DUR]난다”고 말했다.
문 총재가 있을 때도 그런 이야기를 많이 했다.	문[PER] 총재가 있을 때도 그런 이야기를 많이 했다.
새정치연합도 남의 잘못을 비판하려면 자신의 허물부터 되돌아봐야 한다.	새정치연합[ORG]도 남의 잘못을 비판하려면 자신의 허물부터 되돌아봐야 한다.
황정음과 최시원은 패션매거진 코스모폴리탄 10월호를 통해 드라마와는 또 다른 매력을 뽐냈다.	황정음[PER]과 최시원[PER]은 패션매거진 코스모폴리탄[ORG] 10월호[NOH]를 통해 드라마와는 또 다른 매력을 뽐냈다.
습관 및 충동 장애의 경우 5년 전에 비해 700명이 늘어났으며, 증가한 인원의 대부분은 남성이었다.	습관 및 충동 장애의 경우 5년[NOH] 전에 비해 700명[NOH]이 늘어났으며, 증가한 인원의 대부분은 남성이었다.
네피림은 전혀 반응이 없었다.	네피림[ORG]은 전혀 반응이 없었다.
2008년 필라델피아와 템파베이가 맞붙은 월드시리즈에서 오바마는 ＂(응원팀인)화이트 삭스가 플레이오프 진출에 실패해 필라델피아를 응원하러 왔다＂며 필라델피아 응원석에 앉아 경기를 봤다.	2008년[DAT] 필라델피아[ORG]와 템파베이[ORG]가 맞붙은 월드시리즈[POH]에서 오바마[PER]는 ＂(응원팀인)화이트 삭스가 플레이[ORG]오프 진출에 실패해 필라델피아를 응원하[ORG]러 왔다＂며 필라델피아 응원석에 앉아 경기[ORG]를 봤다.
작가로서는 ‘그물망 공부법’, ‘공부 기술’, ‘생각 기술’ 등 25권의 책을 내기도 했다.	작가로서는 ‘그물망 공부법’, ‘공[POH]부 기술’, ‘생각 기술’ 등 25권[POH]의 책을 내기도 했다.
산부인과 의사회 “송민호 사과 접수”…여성비하 랩 논란, 바비 우승 부담?	산부인과 의사회[ORG] “송민호 사과 접수[PER]”…여성비하 랩 논란, 바비 우승 부담?
이재력 교육부 사립대제도과장은 “재정 능력과 대학 발전 계획의 구체성 등을 평가해 이르면 5월 중 절차를 마무리짓게 될 것”이라고 말했다.	이재력[PER] 교육부[ORG] 사립대제도과장은 “재정 능력과 대학 발전 계획의 구체성 등을 평가해 이르면 5월 중 절차를[DAT] 마무리짓게 될 것”이라고 말했다.
2003년 아오모리 동계아시안게임에서 처음 만나 0-10으로 패했고, 2007년 창춘 대회에서는 0-5로 패했다.	2003년[DAT] 아오모리 동계아시안게임[POH]에서 처음 만나 0-10[NOH]으로 패했고, 2007년[DAT] 창춘 대회[POH]에서는 0-5[NOH]로 패했다.
서태종 금감원 수석부원장은 “많은 국민이 쓰지 않는 계좌를 해지하고 싶어도 자신의 금융계좌가 어느 회사 것인지 조차 파악하기 곤란한 경우가 많다”며 “이런 휴면계좌가 대포 통장에 악용되고 ‘잠자는 돈’이 계속 나오면서 국민이 금융재산을 손실보고 있다”고 말했다.	서태종[PER] 금감원[ORG] 수석부원장은 “많은 국민이 쓰지 않는 계좌를 해지하고 싶어도 자신의 금융계좌가 어느 회사 것인지 조차 파악하기 곤란한 경우가 많다”며 “이런 휴면계좌가 대포 통장에 악용되고 ‘잠자는 돈’이 계속 나오면서 국민이 금융재산을 손실보고 있다”고 말했다.
같은 기간 유럽 판매 40만2000대의 20% 수준이다.	같은 기간 유럽[LOC] 판매 40만2000대[NOH]의 20%[PNT] 수준이다.
롯데 사태와 관련해 기업 총수가 가진 해외 계열사 지분과 해외 계열사가 가진 국내 계열사 지분을 의무적으로 공시토록 하자는 얘기다.	롯데 사태[POH]와 관련해 기업 총수가 가진 해외 계열사 지분과 해외 계열사가 가진 국내 계열사 지분을 의무적으로 공시토록 하자는 얘기다.
'수요미식회'가 떡볶이에 대한 이야기를 나눠 화제다.	'수요미식회'가 떡볶[POH]이에 대한 이야기를 나눠 화제다.
1920년 동아일보를 창간한 인촌 김성수 선생 60주기이기도 합니다.	1920년[DAT] 동아일보[POH]를 창간한 인촌 김성수[PER] 선생 60주기[NOH]이기도 합니다.
1960년대, 내가 호텔 사업을 처음 시작할 때는 침대를 차별화 요소로 내세우는 호텔이 많지 않았다.	1960년대[DUR], 내가 호텔 사업을 처음 시작할 때는 침대를 차별화 요소로 내세우는 호텔이 많지 않았다.
실습 과정에선 북한 내부에서 사용하는 프로그램까지 활용한다고 한다.	실습 과정에선 북한[LOC] 내부에서 사용하는 프로그램까지 활용한다고 한다.
자유한국당은 조건부 해체가 필요하다고 봤고, 바른정당은 공개질의에 답변하지 않았다.	자유한국당[ORG]은 조건부 해체가 필요하다고 봤고, 바른정당[ORG]은 공개질의에 답변하지 않았다.
오늘도 8시 20분, 1교시 수업 종과 함께 들어온 교사는 “자, 오늘 진도 어디지?”라는 말 대신 “자습!”이라는 짧은 말로 수업을 마친다.	오늘도 8시 20분[TIM], 1교시[NOH] 수업 종과 함께 들어온 교사는 “자, 오늘 진도 어디지?”라는 말 대신 “자습!”이라는 짧은 말로 수업을 마친다.
사진·글 = 임현동 기자	사진·글 = 임현동 기
이 자리에는 홍 교수의 강연을 들으려고 페이스북을 통해 청강을 신청한 대학생 13명도 함께했다.	이 자리에는 홍[PER] 교수의 강연을 들으려고 페이스북[POH]을 통해 청강을 신청한 대학생 13명[NOH]도 함께했다.
▶양기호=중국이 긴장하지는 않을 것이다.	▶양기호=중국이[PER] 긴장하지는 않을[ORG] 것이다.
소희는 연기 등 일에 집중하고자 탈퇴하기로 했다”며 “다음달 컴백을 앞둔 원더걸스는 예은, 유빈, 선미, 혜림 등 4인조 밴드로 활동한다”고 밝혔다.	소희[PER]는 연기 등 일에 집중하고자 탈퇴하기로 했다”며 “다음달 컴백을 앞둔 원더걸스는 예은, 유빈, 선[ORG]미, 혜[PER]림 등 4[PER]인조 밴[PER]드로 활[PER]동한다”[NOH]고 밝혔다.
다섯 살 정도 되어 보이는 그 아이는 대답 없이 울기만 했다.	다섯 살[NOH] 정도 되어 보이는 그 아이는 대답 없이 울기만 했다.
박유천 고소女 ‘무고·공갈미수’ 혐의로 구속 기소	박유천[PER] 고소女 ‘무고·공갈미수’ 혐의로 구속 기소
광주시가 2013년 말 열차 승객을 조사한 결과 광주역 이용객이 53%로 송정역(47%)보다 8%포인트가 많았다.	광주시[ORG]가 2013년[DAT] 말 열차 승객을 조사한 결과 광주역[ORG] 이용객이 53%[PNT]로 송정역[ORG](47%[PNT])보다 8%포인트[PNT]가 많았다.
하지만 백종원은 “왜 같이 하냐. 늦게 넣으면 된다”며 쉽지만 평상시 하지 못했던 팁을 전수했다.	하지만 백종원[PER]은 “왜 같이 하냐. 늦게 넣으면 된다”며 쉽지만 평상시 하지 못했던 팁을 전수했다.
